sentiment,comment,preprocessed
positive,"The Rock is destined to be the st Century's new `` Conan '' and that he's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",rock destined st centuryis new conan going make splash even greater arnold schwarzenegger jean claud van damme steven segal
positive,The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson's expanded vision of J.R.R. Tolkien's Middle-earth .,gorgeously elaborate continuation lord rings trilogy huge column words NOT_adequately describe co writer director peter jacksonis expanded vision tolkienis middle earth
positive,"Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .",singer composer bryan adams contributes slew songs few potential hits few more simply intrusive story whole package certainly captures intended er spirit piece
positive,Yet the act is still charming here .,yet act still charming
positive,"Whether or not you're enlightened by any of Derrida's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .",whether NOT_enlightened derridais lectures on other self derrida undeniably fascinating playful fellow
positive,Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,just labour involved creating layered richness imagery chiaroscuro madness light astonishing
positive,Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .,part charm satin rouge avoids obvious humour lightness
positive,a screenplay more ingeniously constructed than `` Memento '',screenplay more ingeniously constructed memento
positive,`` Extreme Ops '' exceeds expectations .,extreme ops exceeds expectations
positive,"Good fun , good action , good acting , good dialogue , good pace , good cinematography .",good fun good action good acting good dialogue good pace good cinematography
positive,Dramas like this make it human .,dramas like make human
positive,"Still , this flick is fun , and host to some truly excellent sequences .",still flick fun host some truly excellent sequences
positive,Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .,australian actor director john polson award winning english cinematographer giles nuttgens make terrific effort disguising obvious energy innovation
positive,You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .,walk out good girl mixed emotions disapproval justine combined tinge understanding actions
positive,Absorbing character study by André Turpin .,absorbing character study andré turpin
positive,"If you love reading and\/or poetry , then by all means check it out .",love reading poetry all means check out
positive,You'll probably love it .,probably love
positive,"`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''",frailty written well even simple goddammit
positive,"Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback's Heidegger - and Nietzsche-referencing dialogue .",grenier terrific bringing unforced rapid fire delivery tobackis heidegger nietzsche referencing dialogue
positive,The actors are fantastic .,actors fantastic
positive,They are what makes it worth the trip to the theatre .,makes worth trip theatre
positive,"Taymor utilizes the idea of making Kahlo's art a living , breathing part of the movie , often catapulting the artist into her own work .",taymor utilizes idea making kahlois art living breathing part movie often catapulting artist work
positive,It's been done before but never so vividly or with so much passion .,done NOT_vividly much passion
positive,`` Take Care of My Cat '' is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .,take care cat honestly nice little film takes us on examination young adult life urban south korea hearts minds five principals
positive,What `` Empire '' lacks in depth it makes up for with its heart .,empire lacks depth makes up heart
positive,"Light , silly , photographed with colour and depth , and rather a good time .",light silly photographed colour depth rather good time
positive,But tongue-in-cheek preposterousness has always been part of For the most part Wilde's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker's creative interference ...,tongue cheek preposterousness always part most part wildeis droll whimsy helps earnest overcome weaknesses parkeris creative interference
positive,Much of the movie's charm lies in the utter cuteness of Stuart and Margolo .,much movieis charm lies utter cuteness stuart margolo
positive,Their computer-animated faces are very expressive .,computer animated faces expressive
positive,"... spiced with humor ' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand and witty updatings Silver's parrot has been replaced with Morph , a cute alien creature who mimics everyone and everything around",spiced humor speak fluent flatula advises denlopp rather er bubbly exchange alien deckhand witty updatings silveris parrot replaced morph cute alien creature mimics everyone everything around
positive,There's an energy to Y Tu Mamá También .,thereis energy tu mamá también
positive,"Much of it comes from the brave , uninhibited performances by its lead actors .",much comes brave uninhibited performances lead actors
positive,`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era,auto focus works unusual biopic document male swingers playboy era
positive,"feeling to it , but like the's , the trip there is a great deal of fun .",feeling like trip great deal fun
positive,`` Cremaster '' should come with the warning `` For serious film buffs only ! '',cremaster come warning serious film buffs
positive,"But believe it or not , it's one of the most beautiful , evocative works I've seen .",believe NOT_one most beautiful evocative works seen
positive,"García Bernal and Talancón are an immensely appealing couple , and even though their story is predictable , you'll want things to work out .",garcía bernal talancón immensely appealing couple even though story predictable want things work out
positive,"... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .",spoof comedy carries share laughs sometimes chuckle sometimes guffaw great pleasure occasional belly laugh
positive,"City reminds us how realistically nuanced a Robert De Niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` Analyze This ' and ` Analyze That , ' promised or threatened for later this year .",city reminds us realistically nuanced robert de niro performance NOT_more lucratively engaged shameless self caricature analyze analyze promised threatened later year
positive,The wanton slipperiness of \* Corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art .,wanton slipperiness corpus amiable jerking reshaping physical time space would make great piece watch kids use introduce video art
positive,"`` Frailty '' starts out like a typical Bible killer story , but it turns out to be significantly different and better than most films with this theme .",frailty starts out like typical bible killer story turns out significantly different better most films theme
positive,"For those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half .",pride on sophisticated discerning taste might NOT_seem like proper cup tea however almost guaranteed even stuffiest cinema goers laugh off hour half
positive,"It cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .",cuts core actually means face fears girl world boys boy truly love girl ride big metaphorical wave life wherever takes
positive,"A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .",welcome relief baseball movies try hard mythic one sweet modest ultimately winning story
positive,A crisp psychological drama and a fascinating little thriller that would have been perfect for an old `` Twilight Zone '' episode .,crisp psychological drama fascinating little thriller would perfect old twilight zone episode
positive,It has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .,more few moments insightful enough fondly remembered endlessly challenging maze moviegoing
positive,"An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '",uncluttered resonant gem relays universal points without lectures confrontations
positive,The Cockettes provides a window into a subculture hell-bent on expressing itself in every way imaginable . ',cockettes provides window subculture hell bent on expressing every way imaginable
positive,"A smart , steamy mix of road movie , coming-of-age story and political satire .",smart steamy mix road movie coming age story political satire
positive,"A terrific B movie -- in fact , the best in recent memory .",terrific movie fact best recent memory
positive,`` Birthday Girl '' is an actor's movie first and foremost .,birthday girl actoris movie first foremost
positive,I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .,walked away new version just hoped would moist eyes
positive,"For devotees of French cinema , Safe Conduct is so rich with period minutiae it's like dying and going to celluloid heaven .",devotees french cinema safe conduct rich period minutiae like dying going celluloid heaven
positive,What's really so appealing about the characters is their resemblance to everyday children .,whatis really appealing characters resemblance everyday children
positive,"If you're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you're at the right film .",happy listening movies watching slow parade human frailty fascinates right film
positive,Mention `` Solaris '' five years from now and I'm sure those who saw it will have an opinion to share .,mention solaris five years sure saw opinion share
positive,Allen's funniest and most likeable movie in years .,allenis funniest most likeable movie years
positive,It's a glorious spectacle like those D.W. Griffith made in the early days of silent film .,glorious spectacle like griffith made early days silent film
positive,This comic gem is as delightful as it is derivative .,comic gem delightful derivative
positive,"More timely than its director could ever have dreamed , this quietly lyrical tale probes the ambiguous welcome extended by Iran to the Afghani refugees who streamed across its borders , desperate for work and food .",more timely director could ever dreamed quietly lyrical tale probes ambiguous welcome extended iran afghani refugees streamed across borders desperate work food
positive,"The leaping story line , shaped by director Peter Kosminsky into sharp slivers and cutting impressions , shows all the signs of rich detail condensed into a few evocative images and striking character traits .",leaping story line shaped director peter kosminsky sharp slivers cutting impressions shows all signs rich detail condensed few evocative images striking character traits
positive,"The production has been made with an enormous amount of affection , so we believe these characters love each other .",production made enormous amount affection believe characters love other
positive,Certainly the performances are worthwhile .,certainly performances worthwhile
positive,"Winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars .",winds up revelatory narcissistic achieving some honest insight relationships most high concept films candy coat pat storylines precious circumstances beautiful stars
positive,Watching these eccentrics is both inspiring and pure joy .,watching eccentrics inspiring pure joy
positive,Steven Spielberg brings us another masterpiece,steven spielberg brings us another masterpiece
positive,"Finally , the French-produced `` Read My Lips '' is a movie that understands characters must come first .",finally french produced read lips movie understands characters must come first
positive,"Ms. Seigner and Mr. Serrault bring fresh , unforced naturalism to their characters .",ms seigner mr serrault bring fresh unforced naturalism characters
positive,Allen shows he can outgag any of those young whippersnappers making moving pictures today .,allen shows outgag young whippersnappers making moving pictures today
positive,"A good film with a solid pedigree both in front of and , more specifically , behind the camera .",good film solid pedigree front more specifically behind camera
positive,I encourage young and old alike to go see this unique and entertaining twist on the classic whale's tale -- you won't be sorry !,encourage young old alike go see unique entertaining twist on classic whaleis tale NOT_sorry
positive,A literary detective story is still a detective story and aficionados of the whodunit won't be disappointed .,literary detective story still detective story aficionados whodunit NOT_disappointed
positive,High Crimes steals so freely from other movies and combines enough disparate types of films that it can't help but engage an audience .,high crimes steals freely other movies combines enough disparate types films NOT_help engage audience
positive,If you're a fan of the series you'll love it and probably want to see it twice .,fan series love probably want see twice
positive,I will be .,
positive,"It celebrates the group's playful spark of nonconformity , glancing vividly back at what Hibiscus grandly called his ` angels of light . '",celebrates groupis playful spark nonconformity glancing vividly back hibiscus grandly called angels light
positive,"The story ... is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is .",story inspiring ironic revelatory just ridiculous money oriented record industry really
positive,It is also a testament to the integrity and vision of the band .,also testament integrity vision band
positive,"Laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , No Such Thing is a fascinating little tale .",laced liberal doses dark humor gorgeous exterior photography stable full solid performances NOT_thing fascinating little tale
positive,"Huppert's show to steal and she makes a meal of it , channeling Kathy Baker's creepy turn as the repressed mother on Boston Public just as much as Women's Augustine .",huppertis show steal makes meal channeling kathy bakeris creepy turn repressed mother on boston public just much womenis augustine
positive,Nair doesn't treat the issues lightly .,nair NOT_treat issues lightly
positive,She allows each character to confront their problems openly and honestly .,allows character confront problems openly honestly
positive,"One of the best silly horror movies of recent memory , with some real shocks in store for unwary viewers .",one best silly horror movies recent memory some real shocks store unwary viewers
positive,The work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them .,work filmmaker secrets buried heart story knows take time revealing
positive,Strange occurrences build in the mind of the viewer and take on extreme urgency .,strange occurrences build mind viewer take on extreme urgency
positive,"Has a certain ghoulish fascination , and generates a fair amount of B-movie excitement .",certain ghoulish fascination generates fair amount movie excitement
positive,Familiar but utterly delightful .,familiar utterly delightful
positive,"A fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction .",fascinating dark thriller keeps hooked on delicious pulpiness lurid fiction
positive,"The film aims to be funny , uplifting and moving , sometimes all at once .",film aims funny uplifting moving sometimes all
positive,The extent to which it succeeds is impressive .,extent succeeds impressive
positive,"The film brilliantly shines on all the characters , as the direction is intelligently accomplished .",film brilliantly shines on all characters direction intelligently accomplished
positive,"While not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the National Lampoon film franchise , too long reduced to direct-to-video irrelevancy .",NOT_every taste often funny collegiate gross out comedy goes long way toward restoring luster national lampoon film franchise long reduced direct video irrelevancy
positive,"As broad and cartoonish as the screenplay is , there is an accuracy of observation in the work of the director , Frank Novak , that keeps the film grounded in an undeniable social realism .",broad cartoonish screenplay accuracy observation work director frank novak keeps film grounded undeniable social realism
positive,"In addition to Hoffman's powerful acting clinic , this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday .",addition hoffmanis powerful acting clinic rare drama offers thoughtful rewarding glimpse sort heartache everyone felt feel someday
positive,Jeffrey Tambor's performance as the intelligent jazz-playing exterminator is Oscar-worthy .,jeffrey tamboris performance intelligent jazz playing exterminator oscar worthy
positive,"From the opening strains of the Average White Band's `` Pick up the Pieces '' , you can feel the love .",opening strains average white bandis pick up pieces feel love
positive,Stevens ' vibrant creative instincts are the difference between this and countless other flicks about guys and dolls .,stevens vibrant creative instincts difference countless other flicks guys dolls
positive,that it'll probably be the best and most mature comedy of the summer season speaks more of the season than the picture,probably best most mature comedy summer season speaks more season picture
positive,Meyjes ' provocative film might be called an example of the haphazardness of evil .,meyjes provocative film might called example haphazardness evil
positive,The movie is pretty funny now and then without in any way demeaning its subjects .,movie pretty funny without way demeaning subjects
positive,imagine a scenario where Bergman approaches Swedish fatalism using Gary Larson's Far Side humor,imagine scenario bergman approaches swedish fatalism using gary larsonis far side humor
positive,"Too damn weird to pass up , and for the blacklight crowd , way cheaper and better than Pink Floyd tickets .",damn weird pass up blacklight crowd way cheaper better pink floyd tickets
positive,"It is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .",most remarkable NOT_epic scope startling intimacy achieves despite breadth
positive,"Others , more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find Morrison's iconoclastic uses of technology to be liberating .",others more attuned anarchist maxim urge destroy also creative urge more willing see eyes find morrisonis iconoclastic uses technology liberating
positive,"Miller tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet .",miller tells compelling tale little fuss noise expertly plucking tension quiet
positive,Time Out is existential drama without any of the pretension associated with the term .,time out existential drama without pretension associated term
positive,"It's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .",sweet laugh minute crowd pleaser lifts spirits well corners mouth
positive,Writer\/director Alexander Payne Election and his co-writer Jim Taylor brilliantly employ their quirky and fearless ability to look American angst in the eye and end up laughing .,writer director alexander payne election co writer jim taylor brilliantly employ quirky fearless ability look american angst eye end up laughing
positive,"It's tough to watch , but it's a fantastic movie .",tough watch fantastic movie
positive,The best animated feature to hit theaters since Beauty and the Beast years ago .,best animated feature hit theaters since beauty beast years ago
positive,What saves this deeply affecting film from being merely a collection of wrenching cases is Corcuera's attention to detail .,saves deeply affecting film merely collection wrenching cases corcuerais attention detail
positive,Pacino is the best he's been in years and Keener is marvelous .,pacino best years keener marvelous
positive,"A solid , spooky entertainment worthy of the price of a ticket .",solid spooky entertainment worthy price ticket
positive,"By turns fanciful , grisly and engagingly quixotic .",turns fanciful grisly engagingly quixotic
positive,"... very funny , very enjoyable ...",funny enjoyable
positive,Adaptation is intricately constructed and in a strange way nails all of Orlean's themes without being a true adaptation of her book .,adaptation intricately constructed strange way nails all orleanis themes without true adaptation book
positive,So purely enjoyable that you might not even notice it's a fairly straightforward remake of Hollywood comedies such as Father of the Bride .,purely enjoyable might NOT_even notice fairly straightforward remake hollywood comedies father bride
positive,Moonlight Mile gives itself the freedom to feel contradictory things .,moonlight mile gives freedom feel contradictory things
positive,"It is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its characters , is about grief and yet permits laughter .",sentimental feels free offend analytical surrenders illogic characters grief yet permits laughter
positive,"The real triumphs in Igby come from Philippe , who makes Oliver far more interesting than the character's lines would suggest , and Sarandon , who couldn't be better as a cruel but weirdly likable WASP matron .",real triumphs igby come philippe makes oliver far more interesting characteris lines would suggest sarandon could NOT_better cruel weirdly likable wasp matron
positive,Robin Williams has thankfully ditched the saccharine sentimentality of Bicentennial Man in favour of an altogether darker side .,robin williams thankfully ditched saccharine sentimentality bicentennial man favour altogether darker side
positive,"If you're willing to have fun with it , you won't feel cheated by the high infidelity of Unfaithful .",willing fun NOT_feel cheated high infidelity unfaithful
positive,Australia : Land Beyond Time is an enjoyable Big Movie primarily because Australia is a weirdly beautiful place .,australia land beyond time enjoyable big movie primarily australia weirdly beautiful place
positive,Hoffman's performance is authentic to the core of his being .,hoffmanis performance authentic core
positive,Told just proficiently enough to trounce its overly comfortable trappings .,told just proficiently enough trounce overly comfortable trappings
