feature,frekuensi,sentiment
aa,1,positive
aa action,1,positive
aaliyah,1,negative
aaliyah one,1,negative
aan,1,negative
aan opportunity,1,negative
abandon,4,negative
abandon,2,positive
abandon all,1,negative
abandon holds,1,negative
abandon however,1,positive
abandon leave,1,negative
abandon scripts,1,positive
abandon spends,1,negative
abandon theater,1,negative
abandoned,1,negative
abandoned,1,positive
abandoned slim,1,negative
abandoned still,1,positive
abbassis,1,positive
abbassis understated,1,positive
abbott,1,negative
abbott ernest,1,negative
abcis,1,negative
abcis despite,1,negative
abdul,1,negative
abdul malik,1,negative
abel,2,positive
abel ferrara,2,positive
abhorrent,1,negative
abiding,1,negative
abiding impression,1,negative
abilities,1,negative
abilities several,1,negative
ability,2,negative
ability,13,positive
ability carry,1,negative
ability document,1,positive
ability honor,1,positive
ability human,1,positive
ability images,1,positive
ability look,1,positive
ability make,1,positive
ability mesmerize,1,positive
ability pull,1,positive
ability right,1,positive
ability shock,1,positive
ability spoof,1,positive
ability take,1,positive
ability think,1,negative
ability triumph,1,positive
abject,1,negative
abject suffering,1,negative
able,4,negative
able,12,positive
able accomplish,1,positive
able appreciate,1,positive
able create,1,positive
able creep,1,positive
able find,1,negative
able forgive,1,positive
able give,1,positive
able hit,1,negative
able inject,1,positive
able look,1,positive
able overcome,1,negative
able overcome,1,positive
able project,1,negative
able provide,1,positive
able share,1,positive
able tear,1,positive
able visualize,1,positive
ably,3,positive
ably balances,1,positive
ably captures,1,positive
ably meets,1,positive
abomination,1,negative
abomination mean,1,negative
aboriginal,1,positive
aboriginal aspect,1,positive
abound,1,positive
abound easy,1,positive
abrasive,1,positive
abrasive stylized,1,positive
abridged,1,negative
abridged edition,1,negative
abroad,1,negative
abroad,1,positive
abroad frosty,1,negative
abrupt,1,negative
abrupt turn,1,negative
absence,1,negative
absence narrative,1,negative
absent,1,negative
absent either,1,negative
absolute,2,negative
absolute,2,positive
absolute delight,1,positive
absolute joy,1,positive
absolute last,1,negative
absolute raving,1,negative
absolutely,5,negative
absolutely,11,positive
absolutely amazing,1,positive
absolutely completely,1,negative
absolutely crack,1,positive
absolutely earned,1,positive
absolutely essential,1,positive
absolutely inescapably,1,positive
absolutely nails,1,positive
absolutely no,1,negative
absolutely not_already,1,negative
absolutely not_idea,1,positive
absolutely not_reason,1,positive
absolutely not_sense,1,negative
absolutely really,1,positive
absolutely refreshed,1,positive
absolutely right,1,positive
absolutely unnecessary,1,negative
absorb,1,positive
absorb even,1,positive
absorbed,1,negative
absorbed women,1,negative
absorbing,12,positive
absorbing character,1,positive
absorbing documentary,1,positive
absorbing drama,1,positive
absorbing largely,1,positive
absorbing look,2,positive
absorbing movie,1,positive
absorbing outing,1,positive
absorbing piece,1,positive
absorbing unsettling,1,positive
absorbs,1,negative
absorbs all,1,negative
absorption,1,positive
absorption insistently,1,positive
abstract,2,negative
abstract,2,positive
abstract approach,1,positive
abstract guilt,1,negative
abstract terms,1,positive
absurd,4,negative
